1	50	408
2	344	705
3	666	1017
4	966	1337
5	1266	1623
6	1562	1925
7	1875	2228
8	2180	2544
9	2508	2861
10	2850	3183
11	3102	3470
12	3412	3769
13	3705	4067
14	4018	4387
15	4339	4685
16	4648	4995
17	4953	5302
18	5259	5620
19	5584	5932
20	5894	6247
21	6210	6553
22	6507	6859
23	6776	7122
24	7084	7440
25	7403	7747
26	7695	8063
27	8019	8370
28	8326	8691
29	8619	8990
30	8944	9306
31	9192	9535
32	9497	9842
33	9805	10150
34	10099	10465
35	10419	10785
36	10742	11092
37	11023	11388
38	11330	11689
39	11651	12011
40	11963	12317
41	12255	12618
42	12546	12895
43	12856	13218
44	13148	13506
45	13485	13833
46	13775	14120
47	14075	14428
48	14362	14717
49	14674	15023
50	14983	15336
51	15237	15596
52	15557	15917
53	15881	16239
54	16137	16483
55	16408	16767
56	16714	17082
57	17013	17381
58	17345	17688
59	17642	17997
60	17939	18307
61	18267	18624
62	18578	18936
63	18891	19252
64	19208	19558
65	19513	19877
66	19836	20186
67	20117	20472
68	20405	20766
69	20699	21050
70	21013	21358
71	21316	21675
72	21561	21904
73	21889	22247
74	22113	22474
75	22428	22785
76	22677	23028
77	22974	23327
78	23246	23611
79	23575	23927
80	23876	24233
81	24194	24545
82	24448	24814
83	24772	25122
84	25076	25438
85	25353	25711
86	25672	26026
87	25979	26338
88	26277	26635
89	26587	26956
90	26895	27256
91	27177	27534
92	27473	27826
93	27726	28082
94	28021	28394
95	28214	28572
96	28536	28893
97	28849	29206
98	29161	29512
99	29475	29827
